level,slow,medium,fast,medium-slow,slow-then-very-fast,fast-then-very-slow
1,10,8,6,9,15,4
2,23,19,15,48,37,9
3,47,37,30,39,70,19
4,76,61,49,39,115,33
5,114,91,72,44,169,47
6,158,127,102,57,231,66
7,212,169,135,78,305,98
8,271,217,174,105,384,117
9,339,271,217,141,474,147
10,413,331,264,182,569,205
11,497,397,318,231,672,222
12,586,469,375,288,781,263
13,684,547,438,351,897,361
14,788,631,505,423,1018,366
15,902,721,576,500,1144,500
16,1021,817,654,585,1274,589
17,1149,919,735,678,1409,686
18,1283,1027,822,777,1547,794
19,1427,1141,913,885,1689,914
20,1576,1261,1008,998,1832,1042
21,1734,1387,1110,1119,1978,1184
22,1898,1519,1215,1248,2127,1337
23,2072,1657,1326,1383,2275,1503
24,2251,1801,1441,1527,2425,1681
25,2439,1951,1560,1676,2575,1873
26,2633,2107,1686,1833,2725,2080
27,2837,2269,1815,1998,2873,2299
28,3046,2437,1950,2169,3022,2535
29,3264,2611,2089,2349,3168,2786
30,3488,2791,2232,2534,3311,3051
31,3722,2977,2382,2727,3453,3335
32,3961,3169,2535,2928,3591,3634
33,4209,3367,2694,3135,3726,3951
34,4463,3571,2857,3351,3856,4286
35,4727,3781,3024,3572,3982,4639
36,4996,3997,3198,3801,4103,3997
37,5274,4219,3375,4038,4219,5316
38,5558,4447,3558,4281,4328,4536
39,5852,4681,3745,4533,4431,6055
40,6151,4921,3936,4790,4526,5117
41,6459,5167,4134,5055,4616,6856
42,6773,5419,4335,5328,4695,5744
43,7097,5677,4542,5607,4769,7721
44,7426,5941,4753,5895,4831,6417
45,7764,6211,4968,6188,4885,8654
46,8108,6487,5190,6489,4930,7136
47,8462,6769,5415,6798,4963,9658
48,8821,7057,5646,7113,4986,7903
49,9189,7351,5881,7437,4999,10734
50,9563,7651,6120,7766,6324,8722
51,9947,7957,6366,8103,6471,11883
52,10336,8269,6615,8448,6615,9592
53,10734,8587,6870,8799,6755,13110
54,11138,8911,7129,9159,6891,10515
55,11552,9241,7392,9524,7023,14417
56,11971,9577,7662,9897,7150,11492
57,12399,9919,7935,10278,7274,15805
58,12833,10267,8214,10665,7391,12526
59,13277,10621,8497,11061,7506,17278
60,13726,10981,8784,11462,7613,13616
61,14184,11347,9078,11871,7715,18837
62,14648,11719,9375,12288,7812,14766
63,15122,12097,9678,12711,7903,20485
64,15601,12481,9985,13143,7988,15976
65,16089,12871,10296,13580,8065,22224
66,16583,13267,10614,14025,8137,17247
67,17087,13669,10935,14478,8201,24059
68,17596,14077,11262,14937,9572,18581
69,18114,14491,11593,15405,9052,25989
70,18638,14911,11928,15878,9870,19980
71,19172,15337,12270,16359,10030,28017
72,19711,15769,12615,16848,9409,21446
73,20259,16207,12966,17343,10307,30146
74,20813,16651,13321,17847,10457,22978
75,21377,17101,13680,18356,9724,32379
76,21946,17557,14046,18873,10710,24580
77,22524,18019,14415,19398,10847,34717
78,23108,18487,14790,19929,9995,26252
79,23702,18961,15169,20469,11073,37165
80,24301,19441,15552,21014,11197,27995
81,24909,19927,15942,21567,10216,39722
82,25523,20419,16335,22128,11393,29812
83,26147,20917,16734,22695,11504,42392
84,26776,21421,17137,23271,10382,31704
85,27414,21931,17544,23852,11667,45179
86,28058,22447,17958,24441,11762,33670
87,28712,22969,18375,25038,10488,48083
88,29371,23497,18798,25641,11889,35715
89,30039,24031,19225,26253,11968,51108
90,30713,24571,19656,26870,10532,37839
91,31397,25117,20094,27495,12056,54254
92,32086,25669,20535,28128,12115,40043
93,32784,26227,20982,28767,10508,57526
94,33488,26791,21433,29415,12163,42330
95,34202,27361,21888,30068,12202,60925
96,34921,27937,22350,30729,10411,44699
97,35649,28519,22815,31398,12206,64455
98,36383,29107,23286,32073,8343,47153
99,37127,29701,23761,32757,8118,68116
